date,year,state,region,lat,lng,rainfall,onset,onset_date,break_spell,break_duration,heavy_rain,heavy_rain_class
2023-08-06,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,14.186551094055176,0,2023-06-30,0,0,0,None/Moderate
2023-08-07,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,15.739981651306152,0,2023-06-30,0,0,0,None/Moderate
2023-08-08,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.9790953993797302,0,2023-06-30,0,1,0,None/Moderate
2023-08-09,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.6760420799255371,0,2023-06-30,0,2,0,None/Moderate
2023-08-10,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,12.86811351776123,0,2023-06-30,0,0,0,None/Moderate
2023-08-11,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,3.0072219371795654,0,2023-06-30,0,0,0,None/Moderate
2023-08-12,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,5.128595352172852,0,2023-06-30,0,0,0,None/Moderate
2023-08-13,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,12.495123863220215,0,2023-06-30,0,0,0,None/Moderate
2023-08-14,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,2.727480173110962,0,2023-06-30,0,0,0,None/Moderate
2023-08-15,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.10328179597854614,0,2023-06-30,1,1,0,None/Moderate
2023-08-16,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.25700053572654724,0,2023-06-30,1,2,0,None/Moderate
2023-08-17,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,3,0,None/Moderate
2023-08-18,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,6.4000396728515625,0,2023-06-30,0,0,0,None/Moderate
2023-08-19,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,4.826411247253418,0,2023-06-30,0,0,0,None/Moderate
2023-08-20,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.1721363365650177,0,2023-06-30,0,1,0,None/Moderate
2023-08-21,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,2.039855718612671,0,2023-06-30,0,0,0,None/Moderate
2023-08-22,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,16.922203063964844,0,2023-06-30,0,0,0,None/Moderate
2023-08-23,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,24.257814407348633,0,2023-06-30,0,0,0,None/Moderate
