subdivision,year,month,monthly_rainfall_mm,monthly_normal_mm,anomaly_mm,pct_of_normal
KONKAN & GOA,1917,MAR,1.2,1.374782608695652,-0.1747826086956521,87.28652751423151
KONKAN & GOA,1918,MAR,3.3,1.374782608695652,1.9252173913043478,240.03795066413662
KONKAN & GOA,1919,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1920,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1921,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1922,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1923,MAR,4.7,1.374782608695652,3.3252173913043483,341.87223276407343
KONKAN & GOA,1924,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1925,MAR,7.4,1.374782608695652,6.0252173913043485,538.2669196710943
KONKAN & GOA,1926,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1927,MAR,0.2,1.374782608695652,-1.174782608695652,14.547754585705253
KONKAN & GOA,1928,MAR,0.2,1.374782608695652,-1.174782608695652,14.547754585705253
KONKAN & GOA,1929,MAR,3.2,1.374782608695652,1.8252173913043481,232.76407337128404
KONKAN & GOA,1930,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1931,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1932,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1933,MAR,1.6,1.374782608695652,0.22521739130434804,116.38203668564202
KONKAN & GOA,1934,MAR,0.3,1.374782608695652,-1.074782608695652,21.821631878557877
KONKAN & GOA,1935,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1936,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1937,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1938,MAR,4.0,1.374782608695652,2.625217391304348,290.955091714105
KONKAN & GOA,1939,MAR,0.4,1.374782608695652,-0.974782608695652,29.095509171410505
KONKAN & GOA,1940,MAR,2.8,1.374782608695652,1.4252173913043478,203.6685641998735
KONKAN & GOA,1941,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1942,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1943,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1944,MAR,0.7,1.374782608695652,-0.6747826086956521,50.91714104996837
KONKAN & GOA,1945,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1946,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1947,MAR,5.8,1.374782608695652,4.425217391304348,421.88488298545224
KONKAN & GOA,1948,MAR,0.2,1.374782608695652,-1.174782608695652,14.547754585705253
KONKAN & GOA,1949,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
